  FASES DA LUA (2000-2010)
  Fonte: U.S. Naval Observatory - Astronomical Applications Department
  Site: http://aa.usno.navy.mil/data/docs/MoonPhase.html

                                                   Hora média da 1ª m   04:05
                                                   Tempo médio entre  06:12:30

        DATA / HORA
         UNIVERSAL            BRASÍLIA - BRASIL           DATA          FASE
      28/08/2007 10:35        28/08/2007 07:35         28/08/2007       cheia
      04/09/2007 02:32        03/09/2007 23:32         03/09/2007       ming
      11/09/2007 12:44        11/09/2007 09:44         11/09/2007       nova
      19/09/2007 16:48        19/09/2007 13:48         19/09/2007       cresc
      26/09/2007 19:45        26/09/2007 16:45         26/09/2007       cheia
      03/10/2007 10:06        03/10/2007 07:06         03/10/2007       ming
      11/10/2007 05:01        11/10/2007 02:01         11/10/2007       nova
      19/10/2007 08:33        19/10/2007 05:33         19/10/2007       cresc
      26/10/2007 04:52        26/10/2007 01:52         26/10/2007       cheia
      01/11/2007 21:18        01/11/2007 18:18         01/11/2007       ming
      09/11/2007 23:03        09/11/2007 20:03         09/11/2007       nova
      17/11/2007 22:33        17/11/2007 19:33         17/11/2007       cresc
      24/11/2007 14:30        24/11/2007 11:30         24/11/2007       cheia
      01/12/2007 12:44        01/12/2007 09:44         01/12/2007       ming
      09/12/2007 17:40        09/12/2007 14:40         09/12/2007       nova
      17/12/2007 10:18        17/12/2007 07:18         17/12/2007       cresc
      24/12/2007 01:16        23/12/2007 22:16         23/12/2007       cheia
      31/12/2007 07:51        31/12/2007 04:51         31/12/2007       ming
      05/01/2008 09:06        05/01/2008 06:06         05/01/2008       cresc
      08/01/2008 11:37        08/01/2008 08:37         08/01/2008       nova
      04/02/2008 03:03        04/02/2008 00:03         04/02/2008       cresc
      07/02/2008 03:44        07/02/2008 00:44         07/02/2008       nova
      04/03/2008 00:06        03/03/2008 21:06         03/03/2008       cresc
      07/03/2008 17:14        07/03/2008 14:14         07/03/2008       nova
      02/04/2008 08:02        02/04/2008 05:02         02/04/2008       cresc
      06/04/2008 03:55        06/04/2008 00:55         06/04/2008       nova
      02/05/2008 03:07        02/05/2008 00:07         02/05/2008       cresc
      05/05/2008 12:18        05/05/2008 09:18         05/05/2008       nova
      31/05/2008 05:04        31/05/2008 02:04         31/05/2008       cresc
      03/06/2008 19:23        03/06/2008 16:23         03/06/2008       nova
      30/06/2008 04:05        30/06/2008 01:05         30/06/2008       cresc
      03/07/2008 02:19        02/07/2008 23:19         02/07/2008       nova
